Nombre_Fondo,Moneda,Fecha,Plazo_Liquidacion,Valor_Cuotaparte_Actual,Rendimiento_Del_Dia_%,Rendimiento_Del_Mes_%,Rendimiento_Del_Anio_%
Allaria Equity Selection - Clase A,ARS,2026-04-08,1.0,1781.865,4.011,21.411,69.427
Allaria Equity Selection - Clase B,ARS,2026-04-08,1.0,1809.222,4.037,21.842,71.68
Allaria Equity Selection - Clase C,ARS,2026-04-08,1.0,1000,0.0,0.0,0.0
MAF Acciones Argentinas - Clase A,ARS,2026-04-08,2.0,901599.406,-1.265,-3.398,39.766
MAF Acciones Argentinas - Clase B,ARS,2026-04-08,2.0,901599.42,-1.265,-3.398,39.766
MAF Acciones Argentinas - Clase RAP Ley N° 27.743,ARS,2026-04-08,2.0,1126.356,0.0,0.0,1.163
SBS Acciones Brasil - Clase A,ARS,2026-04-08,1.0,1575.522,1.797,20.685,69.549
SBS Acciones Brasil - Clase B,ARS,2026-04-08,1.0,5408.866,1.826,21.173,72.116
SBS Acciones Brasil - Clase Ley N° 27.743,ARS,2026-04-08,1.0,1580.893,1.797,20.685,58.089
1822 Raices Valores Negociables,ARS,2026-04-08,1.0,27328327.868,-1.004,-3.535,39.587
Adcap Acciones - Clase A,ARS,2026-04-08,2.0,179339.508,-1.523,-3.274,43.911
Adcap Acciones - Clase B,ARS,2026-04-08,2.0,210520.204,-1.504,-3.014,45.361
Adcap Acciones - Clase Ley Nº 27.743,ARS,2026-04-08,2.0,1730.45,-1.523,-3.275,43.911
Allaria Acciones - Clase A,ARS,2026-04-08,1.0,815325.001,-1.278,-2.952,40.557
Allaria Acciones - Clase B,ARS,2026-04-08,1.0,1139557.475,-1.253,-2.607,42.425
Allaria Acciones - Clase Ley Nº 27.743,ARS,2026-04-08,1.0,1701.506,,,
Alpha Acciones - Clase A,ARS,2026-04-08,1.0,56968.954,-1.142,-2.649,42.206
Alpha Acciones - Clase B,ARS,2026-04-08,1.0,33592.82,-1.19,-3.354,37.934
Alpha Acciones - Clase C,ARS,2026-04-08,1.0,32440.22,-1.198,-3.433,37.821
Alpha Acciones - Clase D,ARS,2026-04-08,1.0,0.418,-0.713,3.465,-4.566
Alpha Acciones - Clase E,ARS,2026-04-08,1.0,18.912,-1.822,-0.095,31.644
Alpha Acciones - Clase I,ARS,2026-04-08,1.0,0.413,-0.721,3.509,-4.619
Alpha Acciones - Clase J,ARS,2026-04-08,1.0,1110.031,0.0,0.0,0.0
Alpha Acciones - Clase K,ARS,2026-04-08,1.0,15500.167,-1.19,-3.354,37.934
Alpha Acciones - Clase Q Ley N° 27.743,ARS,2026-04-08,1.0,1530.141,-1.198,-3.433,37.822
Alpha Mega - Clase A,ARS,2026-04-08,1.0,808726.026,-1.065,-4.336,41.774
Alpha Mega - Clase B,ARS,2026-04-08,1.0,473738.325,-1.112,-5.029,37.515
Alpha Mega - Clase C,ARS,2026-04-08,1.0,452561.831,-1.12,-5.107,37.403
Alpha Mega - Clase D,ARS,2026-04-08,1.0,179.547,-0.632,3.458,-4.484
Alpha Mega - Clase E,ARS,2026-04-08,1.0,271.446,-1.745,-1.826,31.242
Alpha Mega - Clase I,ARS,2026-04-08,1.0,6.188,-0.626,3.461,-4.477
Alpha Mega - Clase J,ARS,2026-04-08,1.0,1352.322,0.0,0.0,0.0
Alpha Mega - Clase K,ARS,2026-04-08,1.0,1110.441,0.0,0.0,0.0
